,,Average,,Bridgewatch,,,,,,Fort Sterling,,,,,,
Timing,Item Name,T7,T8,BW 4.3,BW 5.2,BW 5.3,BW 6.1,BW 6.2,Last Checked,FS 4.3,FS 5.2,FS 5.3,FS T6.1,FS T6.2,Last Checked,
Monthly,Caitiff Shield,56.439,198.388,,,,,,,82.773,48.012,261.250,38.532,135.526,06-01-2025,
Monthly,Wailing Bow T9,2.210.416,,,,,,,,2.099.999,2.499.999,,2.031.249,,06-01-2025,4.3->6.3; 5.2->7.2; 6.1->8.1
Monthly,Royal Hood,245.462,484.952,,,,,,,201.718,289.205,558.870,,411.034,06-01-2025,
Monthly,Assassin Jacket,110.328,319.455,,,,,,,130.159,101.571,318.567,99.252,320.343,07-01-2025,
Monthly,Hellfire Hands T9,2.373.351,,,,,,,,2.095.227,2.515.381,,2.509.443,,16-01-2025,4.3->6.3; 5.2->7.2; 6.1->8.1
Monthly,Fallen Staff,87.678,626.375,,,,,,,76.877,81.823,632.000,104.332,620.750,19-01-2025,
Monthly,Rift Glaive T9,2.595.000,,,,,,,,2.410.000,2.780.000,,,,29-01-2025,4.3->5.4; 5.2->6.3
Monthly,Rotcaller Staff,300.000,757.000,,,,,,,300.000,,724.000,,790.000,02-03-2025,
Monthly,Ursine Maulers S26,192.377,693.240,,,,,,,230.000,161.000,692.000,186.131,694.480,02-03-2025,
Monthly,Ursine Maulers T9 S26,2.169.968,,,,,,,,2.260.000,2.099.903,,2.150.000,,02-03-2025,4.3->6.3; 5.2->7.2; 6.1->8.1
Monthly,Hand of Justice S26,352.398,677.893,,,,,,,341.269,335.351,665.652,380.572,690.133,02-03-2025,
Monthly,Earthrune Staff S26,407.597,933.801,,,,,,,351.877,414.968,968.338,455.944,899.264,02-03-2025,
Monthly,Hammer S26,72.143,423.573,,,,,,,76.223,64.755,479.995,75.451,367.150,02-03-2025,
Monthly,Heavy Mace S26,213.087,619.778,,,,,,,238.904,191.967,661.999,208.390,577.556,02-03-2025,
Monthly,Bedrock Mace S26,235.780,606.609,,,,,,,261.818,190.912,679.993,254.610,533.224,02-03-2025,
Monthly,Oathkeepers S26,329.677,733.760,,,,,,,315.758,314.970,805.523,358.301,661.996,02-03-2025,
Monthly,Icicle Staff S26,241.820,572.236,,,,,,,277.560,256.557,586.480,191.342,557.991,02-03-2025,
Monthly,Permafrost Prism S26,366.273,828.363,,,,,,,208.896,385.229,824.945,504.693,831.780,02-03-2025,
Monthly,Rootbound Staff S26,316.634,768.083,,,,,,,329.885,307.301,763.454,312.715,772.711,02-03-2025,
Monthly,Realmbreaker S26,194.554,583.445,,,,,,,214.305,184.174,597.310,185.181,569.580,02-03-2025,
Monthly,Spirithunter S26,214.698,679.956,,,,,,,209.713,215.660,679.351,218.720,680.560,02-03-2025,
Monthly,Spiked Gauntlets S26,196.406,735.776,,,,,,,253.753,171.228,681.476,164.235,790.075,02-03-2025,
Monthly,Hellfire Hands S26,284.706,893.563,,,,,,,271.903,320.725,896.127,261.490,890.999,02-03-2025,
Monthly,Hallowfall S26,293.275,575.950,,,,,,,284.574,282.553,575.788,312.697,576.112,02-03-2025,
Monthly,Blight Staff S26,180.800,597.982,,,,,,,175.513,187.916,584.649,178.969,611.314,02-03-2025,
